Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,131.04249572753906,136.52499389648438,129.625,131.13499450683594,130.8623809814453,56064000
2021-01-05,130.99749755859375,134.43499755859375,130.8699951171875,134.04750061035156,133.76882934570312,32276000
2021-01-06,132.22500610351562,132.4499969482422,125.86000061035156,126.1449966430664,125.88275909423828,58042400
2021-01-07,129.6750030517578,133.77749633789062,128.86500549316406,133.44000244140625,133.16258239746094,46148000
2021-01-08,133.625,134.2100067138672,130.4199981689453,132.7675018310547,132.4915008544922,29252800
2021-01-11,134.1875,139.61000061035156,133.625,136.21499633789062,135.93182373046875,51834400
2021-01-12,137.52499389648438,137.5449981689453,133.4499969482422,134.84750366210938,134.5671844482422,29147600
2021-01-13,134.89999389648438,136.25,133.85000610351562,135.3175048828125,135.0362091064453,21002800
2021-01-14,135.75,135.99749755859375,131.80499267578125,132.00250244140625,131.72808837890625,28312000
2021-01-15,132.27999877929688,133.25250244140625,128.48500061035156,128.59500122070312,128.32766723632812,27778000
2021-01-19,130.16250610351562,130.94000244140625,128.44000244140625,130.25250244140625,129.98170471191406,22618800
2021-01-20,131.11749267578125,134.30499267578125,130.5675048828125,133.65750122070312,133.37966918945312,25857200
2021-01-21,134.18499755859375,139.99249267578125,132.52999877929688,138.6750030517578,138.38673400878906,33778000
2021-01-22,137.39999389648438,138.41749572753906,136.2725067138672,137.125,136.8399200439453,24682000
2021-01-25,137.8175048828125,138.28500366210938,132.36500549316406,136.53250122070312,136.24868774414062,25111200
2021-01-26,135.80499267578125,136.44749450683594,133.875,134.3524932861328,134.07321166992188,16398000
2021-01-27,132.3000030517578,132.32749938964844,127.9375,129.17750549316406,128.90896606445312,37127200
2021-01-28,129.96249389648438,133.3975067138672,129.60499572753906,130.50999450683594,130.2386932373047,22831600
2021-01-29,130.75,133.34750366210938,129.11500549316406,129.8975067138672,129.62745666503906,27155200
2021-02-01,130.53250122070312,132.70750427246094,129.02749633789062,132.3699951171875,132.09486389160156,21720400
2021-02-02,133.9875030517578,135.72000122070312,132.85499572753906,135.5675048828125,135.2856903076172,22044000
2021-02-03,136.36000061035156,139.3175048828125,135.1649932861328,135.30499267578125,135.02371215820312,24540800
2021-02-04,135.30999755859375,136.73500061035156,133.37750244140625,136.6425018310547,136.35842895507812,20134000
2021-02-05,137.25,137.37249755859375,135.45750427246094,135.91000366210938,135.6274871826172,16915200
2021-02-08,137.2725067138672,144.7375030517578,137.2725067138672,144.3874969482422,144.08734130859375,43462400
2021-02-09,143.40750122070312,145.83250427246094,142.22500610351562,142.63250732421875,142.3360137939453,28756000
2021-02-10,144.63250732421875,149.0500030517578,143.4149932861328,147.6425018310547,147.3355712890625,48535200
2021-02-11,149.80250549316406,152.72250366210938,149.25,152.50750732421875,152.1904754638672,45082800
2021-02-12,150.5,152.91250610351562,147.75,149.6125030517578,149.30149841308594,37475600
2021-02-16,150.6425018310547,153.72500610351562,149.5,153.30250549316406,152.98382568359375,32196000
2021-02-17,151.7100067138672,152.23500061035156,147.8000030517578,149.05999755859375,148.75013732910156,27475600
2021-02-18,147.2899932861328,148.7324981689453,145.75,148.2899932861328,147.98175048828125,23386800
2021-02-19,150.2449951171875,151.77000427246094,148.46749877929688,149.26499938964844,148.9547119140625,27172400
